1	4	34000	0	15000	476	329	0
2	4	29000	0	100	656	427	0
3	4	19000	0	10000	394	656	0
4	4	39000	0	17500	493	460	0
5	4	44000	0	14500	-591	493	0
6	1	0	89000	15000	329	-591	0
7	1	0	78000	100	493	394	0
8	1	0	25000	10000	411	-493	0
9	1	0	9000	1500	656	-427	0
10	1	0	12000	1000	656	-394	0
11	1	2000	0	21000	656	493	0
12	1	99000	0	12000	-493	105	0
13	1	7000	0	2100	558	394	0
14	1	77000	0	2500	-558	591	0
15	1	250	0	1000	493	493	0
16	4	0	30000	19000	591	-493	0
17	4	0	13000	6900	493	656	0
18	4	0	50000	19000	607	-394	0
19	4	0	9000	12500	361	476	0
20	4	0	2000	14000	493	460	0
21	10	0	90000	10500	-493	-329	0
22	10	0	83000	16000	493	-493	0
23	10	0	27500	13000	558	591	0
24	10	0	9000	1500	558	558	0
25	10	0	40000	9000	493	-624	0
26	4	29000	0	100	656	427	0
27	4	19000	0	10000	394	656	0
28	4	39000	0	17500	493	460	0
29	4	44000	0	14500	-591	493	0
30	10	45000	0	5000	460	493	0
31	10	29000	0	100	394	427	0
32	10	78000	0	1200	-493	411	0
33	10	38000	0	21500	427	493	0
34	10	99000	0	22000	493	296	0
35	13	62000	0	24000	656	460	0
36	13	79000	0	22100	-525	460	0
37	13	90000	0	15600	-493	175	0
38	13	22000	0	18500	656	263	0
39	13	39000	0	7800	-493	443	0
40	13	0	82000	19000	329	-443	0
41	13	0	80000	3100	591	411	0
42	13	0	3000	10400	493	-329	0
43	13	0	17000	5500	66	-493	0
44	13	0	2000	9700	164	-656	0
45	15	0	67000	16000	493	-558	0
46	15	0	52000	11000	196	329	0
47	15	0	30000	20000	411	-175	0
48	15	0	9000	23500	427	-656	0
49	15	0	14000	8000	394	656	0
50	24	0	30000	19000	591	-493	0
51	24	0	13000	6900	493	656	0
52	24	0	50000	19000	607	-394	0
53	24	0	9000	12500	361	476	0
54	24	0	2000	14000	493	460	0
55	17	37000	0	18700	-411	493	0
56	17	41000	0	2800	296	656	0
57	17	49000	0	14600	-225	329	0
58	17	50000	0	17500	493	476	0
59	17	60000	0	8200	493	196	0
60	19	0	89000	15000	329	-591	0
61	19	0	78000	100	493	394	0
62	19	0	25000	10000	411	-493	0
63	19	0	9000	1500	656	-427	0
64	19	0	12000	1000	656	-394	0
65	21	2000	0	21000	656	493	0
66	21	99000	0	12000	-493	105	0
67	21	7000	0	2100	558	394	0
68	21	77000	0	2500	-558	591	0
69	21	250	0	1000	493	493	0
70	24	0	30000	19000	591	-493	0
71	24	0	13000	6900	493	656	0
72	24	0	50000	19000	607	-394	0
73	24	0	9000	12500	361	476	0
74	24	0	2000	14000	493	460	0
75	30	0	90000	10500	-493	-329	0
76	30	0	83000	16000	493	-493	0
77	30	0	27500	13000	558	591	0
78	30	0	9000	1500	558	558	0
79	30	0	40000	9000	493	-624	0
80	24	34000	0	15000	476	329	0
81	24	29000	0	100	656	427	0
82	24	19000	0	10000	394	656	0
83	24	39000	0	17500	493	460	0
84	24	44000	0	14500	-591	493	0
85	35	0	67000	16000	493	-558	0
86	35	0	52000	11000	196	329	0
87	35	0	30000	20000	411	-175	0
88	35	0	9000	23500	427	-656	0
89	35	0	14000	8000	394	656	0
90	30	45000	0	5000	460	493	0
91	30	29000	0	100	394	427	0
92	30	78000	0	1200	-493	411	0
93	30	38000	0	21500	427	493	0
94	30	99000	0	22000	493	296	0
95	33	62000	0	24000	656	460	0
96	33	79000	0	22100	-525	460	0
97	33	90000	0	15600	-493	175	0
98	33	22000	0	18500	656	263	0
99	33	39000	0	7800	-493	443	0
100	33	0	82000	19000	329	-443	0
101	33	0	80000	3100	591	411	0
102	33	0	3000	10400	493	-329	0
103	33	0	17000	5500	66	-493	0
104	33	0	2000	9700	164	-656	0
105	35	0	67000	16000	493	-558	0
106	35	0	52000	11000	196	329	0
107	35	0	30000	20000	411	-175	0
108	35	0	9000	23500	427	-656	0
109	35	0	14000	8000	394	656	0
110	37	37000	0	18700	-411	493	0
111	37	41000	0	2800	296	656	0
112	37	49000	0	14600	-225	329	0
113	37	50000	0	17500	493	476	0
114	37	60000	0	8200	493	196	0
115	51	45000	0	5000	460	493	0
116	51	29000	0	100	394	427	0
117	51	78000	0	1200	-493	411	0
118	51	38000	0	21500	427	493	0
119	51	99000	0	22000	493	296	0
120	53	62000	0	24000	656	460	0
121	53	79000	0	22100	-525	460	0
122	53	90000	0	15600	-493	175	0
123	53	22000	0	18500	656	263	0
124	53	39000	0	7800	-493	443	0
125	60	0	82000	19000	329	-443	0
126	60	0	80000	3100	591	411	0
127	60	0	3000	10400	493	-329	0
