1	11	0	5000	10000	500	500	0
2	11	0	10000	10000	500	500	0
3	11	0	15000	10000	500	500	0
4	11	0	20000	10000	500	500	0
5	11	0	25000	10000	500	500	0
							
11	50	84000	0	6000	500	500	0
12	50	75000	0	10000	500	500	0
13	50	25000	0	10000	500	500	0
14	50	86000	0	10000	500	500	0
15	50	72000	0	10000	500	500	0
							
16	21	0	84000	15000	500	500	0
17	21	0	75000	15000	500	500	0
18	21	0	25000	15000	500	500	0
19	21	0	86000	15000	500	500	0
20	21	0	72000	15000	500	500	0
							
21	31	84000	100000	15000	-500	-500	0
22	31	75000	100000	15000	-500	-500	0
23	31	25000	100000	15000	-500	-500	0
24	31	86000	100000	15000	-500	-500	0
25	31	72000	100000	15000	-500	-500	0
							
36	60	5000	100000	4000	-500	-500	0
37	60	10000	100000	4000	-500	-500	0
38	60	15000	100000	4000	-500	-500	0
39	60	20000	100000	4000	-500	-500	0
40	60	25000	100000	4000	-500	-500	0
							
41	70	30000	100000	20000	500	-500	0
42	70	35000	100000	20000	500	-500	0
43	70	40000	100000	20000	500	-500	0
44	70	45000	100000	20000	500	-500	0
45	70	50000	100000	20000	500	-500	0
							
46	90	100000	30000	25000	-500	500	0
47	90	100000	35000	25000	-500	500	0
48	90	100000	40000	25000	-500	500	0
49	90	100000	45000	25000	-500	500	0
50	90	100000	50000	25000	-500	500	0
